rank,video_id,creator,views,likes,comments,saves,reposts,engagement_rate,score,upload_date,ai_phan_tich_tong_the,hook_analysis,viral_mechanics,buyer_psychology,winning_formula,top_buying_intent_questions,top_customer_objections,comments_analyzed_count,url,caption
1,7183075727011482923,amazonhome,1100000,40100,101,11700,5038,0.051763,80.71,2022-12-31,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #1]: Step-by-step unboxing/crafting -> satisfying reveal -> cost breakdown vs commercial alternatives. | [TÂM LÝ KHÁCH]: Taps into pride of home improvement and cost-saving ingenuity; viewers trust creators who build with their hands. (Khán giả phản hồi thực tế: Phân tích từ 78 bình luận thực tế: 19.2% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 11.5% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",DIY Craftsmanship / Process Hook: Opening with 'How to style a faux olive tree? @Veronica DeJesus  has got answers 🫒 #amazo...' to capture viewer attention within 3 seconds.,"Driven by 1,100,000 views and 11,700 saves (101 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'Is there a link for the tree?, me comparten el link de el olivo .. porfa, Where is the planter from 🥰' & Rào cản/lo lắng: 'Fake plants/tree = tacky, Please you @amazonhome send too much boxes and sometimes unnecessary'","Taps into pride of home improvement and cost-saving ingenuity; viewers trust creators who build with their hands. (Khán giả phản hồi thực tế: Phân tích từ 78 bình luận thực tế: 19.2% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 11.5% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Step-by-step unboxing/crafting -> satisfying reveal -> cost breakdown vs commercial alternatives.,Is there a link for the tree?; me comparten el link de el olivo .. porfa; Where is the planter from 🥰; Where did you buy the plant please?,Fake plants/tree = tacky; Please you @amazonhome send too much boxes and sometimes unnecessary; Don’t forget to pretend water your fake plants. Rip Mitch,78,https://www.tiktok.com/@amazonhome/video/7183075727011482923,How to style a faux olive tree? @Veronica DeJesus  has got answers 🫒 #amazonfinds #amazondecor #olivetree 
2,7556733559751363895,markykee0,715500,17400,76,11573,4687,0.04715,74.06,2025-10-03,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #2]: Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA. | [TÂM LÝ KHÁCH]: Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price. (Khán giả phản hồi thực tế: Phân tích từ 52 bình luận thực tế: 28.8% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Bargain Discovery / Smart Shopper Hook: Opening with 'Lighting makes all the difference. This tiny Amazon spotlight turned my fau...' to capture viewer attention within 3 seconds.,"Driven by 715,500 views and 11,573 saves (76 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'How much of the moss did you buy? It’s selected “no size” on your storefront! Totally copying your exact setup😂💘, How much moss did you need to fill the flower pot?, Planter from where?'","Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price. (Khán giả phản hồi thực tế: Phân tích từ 52 bình luận thực tế: 28.8% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA.,How much of the moss did you buy? It’s selected “no size” on your storefront! Totally copying your exact setup😂💘; How much moss did you need to fill the flower pot?; Planter from where?; How tall is your tree,,52,https://www.tiktok.com/@markykee0/video/7556733559751363895,"Lighting makes all the difference. This tiny Amazon spotlight turned my faux olive tree into the coziest little moment in our living room 🤍 An easy, affordable update that makes your home feel so much more elevated and cozy. Linked on my Amazon storefront. @Amazon Home #amazonhomefinds #amazonhome #olivetree #amazonmusthaves #livingroomdecor "
3,7524498344824098061,the.baptiste.shop,173900,4751,613,1855,726,0.045687,73.05,2025-07-13,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #3]: Step-by-step unboxing/crafting -> satisfying reveal -> cost breakdown vs commercial alternatives. | [TÂM LÝ KHÁCH]: Taps into pride of home improvement and cost-saving ingenuity; viewers trust creators who build with their hands. (Khán giả phản hồi thực tế: Phân tích từ 331 bình luận thực tế: 4.5% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)","DIY Craftsmanship / Process Hook: Opening with 'Amazon Home Decor | Tall faux tree upgrade Comment ""TREE"" for the product l...' to capture viewer attention within 3 seconds.","Driven by 173,900 views and 1,855 saves (613 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'Link for tree please, Can you please share the link with me….🙏🏻🙏🏻🙏🏻, I wanna know where you got that pot from that the tree is in , that is beautiful!!'","Taps into pride of home improvement and cost-saving ingenuity; viewers trust creators who build with their hands. (Khán giả phản hồi thực tế: Phân tích từ 331 bình luận thực tế: 4.5% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Step-by-step unboxing/crafting -> satisfying reveal -> cost breakdown vs commercial alternatives.,"Link for tree please; Can you please share the link with me….🙏🏻🙏🏻🙏🏻; I wanna know where you got that pot from that the tree is in , that is beautiful!!; What size is that tree",,331,https://www.tiktok.com/@the.baptiste.shop/video/7524498344824098061,"Amazon Home Decor | Tall faux tree upgrade Comment ""TREE"" for the product link 🌿🔗 or visit my Storefront- Home Decor This video is being shared for promotional purposes or to help others. Original owner of this video belongs to Curated Haus -faux olive tree, tall artificial tree, silk indoor plant, Amazon room decor, statement greenery   #TikTokMadeMeBuyIt #FauxOliveTree #AmazonHomeDecor #TheBaptisteShop #DesignerLookForLess #Tree #HomeAesthetic #artificialplant #homedecor #green #planter #olivetree #fauxtree #renterfriendly #apartment #amazonfavorites #amazonfinds"
4,7402756309759593759,markykee0,428600,4729,98,3721,1815,0.024179,69.27,2024-08-14,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #4]: Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA. | [TÂM LÝ KHÁCH]: Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price. (Khán giả phản hồi thực tế: Phân tích từ 72 bình luận thực tế: 20.8% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 1.4% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Bargain Discovery / Smart Shopper Hook: Opening with 'Setting up the perfect 7ft olive tree. 🫒Both the olive tree and a planter a...' to capture viewer attention within 3 seconds.,"Driven by 428,600 views and 3,721 saves (98 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'Where did you get the pot?, Which one is? You have 2 on your store front, Beautiful! Is your planter 14”W or 18”W?' & Rào cản/lo lắng: 'Plastic? No way'","Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price. (Khán giả phản hồi thực tế: Phân tích từ 72 bình luận thực tế: 20.8% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 1.4% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA.,"Where did you get the pot?; Which one is? You have 2 on your store front; Beautiful! Is your planter 14”W or 18”W?; Hi, where did you buy the vase? Grazie",Plastic? No way,72,https://www.tiktok.com/@markykee0/video/7402756309759593759,Setting up the perfect 7ft olive tree. 🫒Both the olive tree and a planter are linked on my store front 🫶🏼 #olivetree #fauxolivetree #amazonhome #amazonfinds2024 #amazonolivetree @Amazon Home 
5,7617288666129485076,mommymoniqueph,554100,4792,119,3281,1759,0.017959,67.18,2026-03-15,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #5]: Natural lifestyle framing -> problem resolution -> seamless product showcase. | [TÂM LÝ KHÁCH]: Emotional connection to cozy living, relieving maintenance anxiety (no watering, no dying plants). (Khán giả phản hồi thực tế: Phân tích từ 82 bình luận thực tế: 18.3% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Curiosity / Lifestyle Context Hook: Opening with 'Instantly elevates our living room!🫒✨  #olivetree #artificialplant #homedec...' to capture viewer attention within 3 seconds.,"Driven by 554,100 views and 3,281 saves (119 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'Mommy where’s the plant spotlight from? 🥹, Link ng pin light sa plant po. Thank you!, where did you get your sofa?'","Emotional connection to cozy living, relieving maintenance anxiety (no watering, no dying plants). (Khán giả phản hồi thực tế: Phân tích từ 82 bình luận thực tế: 18.3% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Natural lifestyle framing -> problem resolution -> seamless product showcase.,Mommy where’s the plant spotlight from? 🥹; Link ng pin light sa plant po. Thank you!; where did you get your sofa?; ano pong height ng olive tree?,,82,https://www.tiktok.com/@mommymoniqueph/video/7617288666129485076,Instantly elevates our living room!🫒✨  #olivetree #artificialplant #homedecor #homestyling #homeinterior 
6,7334607067321224454,dianne.pingul,502400,5850,85,2711,707,0.018617,64.45,2024-02-12,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #6]: Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA. | [TÂM LÝ KHÁCH]: Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price. (Khán giả phản hồi thực tế: Phân tích từ 55 bình luận thực tế: 25.5% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 1.8% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)","Bargain Discovery / Smart Shopper Hook: Opening with 'What a beauty! 🥰 Hands down, one of my best shopee finds 🌟 #fauxplants #fak...' to capture viewer attention within 3 seconds.","Driven by 502,400 views and 2,711 saves (85 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'Anong size kinuha mo dearest? :) thanks!, Where to buy those vase?, Link po sa plant :)' & Rào cản/lo lắng: 'where to buy this plastic pot'","Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price. (Khán giả phản hồi thực tế: Phân tích từ 55 bình luận thực tế: 25.5% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 1.8% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA.,Anong size kinuha mo dearest? :) thanks!; Where to buy those vase?; Link po sa plant :); where to buy this plastic pot,where to buy this plastic pot,55,https://www.tiktok.com/@dianne.pingul/video/7334607067321224454,"What a beauty! 🥰 Hands down, one of my best shopee finds 🌟 #fauxplants #fakeplants #olivetree #decorationideas #homedecor #olivetreedecor #homeinspo #shopeefinds #diningroomdecor #interiorstyling #aesthetichome #homeimprovement #budolfinds #interiordecor #affordablehomedecor #hometips #budolfindsph #bestbudol "
7,7193072503642705194,missjessicanicoleblog,529000,8479,80,1793,590,0.020684,64.27,2023-01-27,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #7]: Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA. | [TÂM LÝ KHÁCH]: Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price. (Khán giả phản hồi thực tế: Phân tích từ 19 bình luận thực tế: 52.6% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Bargain Discovery / Smart Shopper Hook: Opening with 'Months of waiting and I finally found the perfect pot to use to upgrade my ...' to capture viewer attention within 3 seconds.,"Driven by 529,000 views and 1,793 saves (80 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'Is this the size 15?, Do you know name of the pot ? ❤️, Where is this from? Crate and barrel? I need 😁'","Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price. (Khán giả phản hồi thực tế: Phân tích từ 19 bình luận thực tế: 52.6% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA.,Is this the size 15?; Do you know name of the pot ? ❤️; Where is this from? Crate and barrel? I need 😁; Where did u get the tree from????,,19,https://www.tiktok.com/@missjessicanicoleblog/video/7193072503642705194,Months of waiting and I finally found the perfect pot to use to upgrade my faux olive tree! #targetfinds #olivetree #fauxtree #homedesign #homehacks 
8,7473237115858439467,neutral_homebody,191900,3059,50,2617,1360,0.036925,63.15,2025-02-20,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #8]: Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA. | [TÂM LÝ KHÁCH]: Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price. (Khán giả phản hồi thực tế: Phân tích từ 30 bình luận thực tế: 10.0% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Bargain Discovery / Smart Shopper Hook: Opening with 'Giving my faux olive tree a little upgrade with this battery-operated spotl...' to capture viewer attention within 3 seconds.,"Driven by 191,900 views and 2,617 saves (50 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'Shop, can i have the links please x, Where u get ur olive tree from?'","Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price. (Khán giả phản hồi thực tế: Phân tích từ 30 bình luận thực tế: 10.0% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA.,Shop; can i have the links please x; Where u get ur olive tree from?,,30,https://www.tiktok.com/@neutral_homebody/video/7473237115858439467,Giving my faux olive tree a little upgrade with this battery-operated spotlight from @Amazon ✨🌿 Follow & Comment SHOP below to receive a DM with the link to shop this post on my LTK ⬇ https://liketk.it/567p0 #ltkmostloved #ltkfindsunder50 #ltkhome 🌸 Follow @neutral_homebody for more inspiration and ideas on creating a space that truly feels like home #amazonfind #batteryoperated #cozybedroom #olivetree #affordabledecor #organicmodern 
9,7491975026263018760,pam.lately,200000,2393,65,744,301,0.017515,60.01,2025-04-11,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #9]: Natural lifestyle framing -> problem resolution -> seamless product showcase. | [TÂM LÝ KHÁCH]: Emotional connection to cozy living, relieving maintenance anxiety (no watering, no dying plants). (Khán giả phản hồi thực tế: Phân tích từ 44 bình luận thực tế: 18.2% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 2.3% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Curiosity / Lifestyle Context Hook: Opening with 'Home decorating tip! Skeptical with this artificial olive tree at first but...' to capture viewer attention within 3 seconds.,"Driven by 200,000 views and 744 saves (65 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'where did you buy po yung pot?, What size is yours? Tx, what size yung plan mo sis?' & Rào cản/lo lắng: 'How do you clean the dust?'","Emotional connection to cozy living, relieving maintenance anxiety (no watering, no dying plants). (Khán giả phản hồi thực tế: Phân tích từ 44 bình luận thực tế: 18.2% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 2.3% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Natural lifestyle framing -> problem resolution -> seamless product showcase.,"where did you buy po yung pot?; What size is yours? Tx; what size yung plan mo sis?; Hi, link for the green moss pls, thank you😊",How do you clean the dust?,44,https://www.tiktok.com/@pam.lately/video/7491975026263018760,Home decorating tip! Skeptical with this artificial olive tree at first but it was a happy purchase. Love how it spruced up our boring stairs. 💕 #homestyle #homeimprovement #homedecor #olivertree #minimalist #greenery #homebuddiesph 
10,7660446988172856598,home.of.emma.x,601100,5409,61,2629,1199,0.015468,58.39,2026-07-09,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #10]: 0-3s quick visual reveal -> tactile proof (touching leaves) -> styled living room context -> recommendation. | [TÂM LÝ KHÁCH]: Desire for elevated living space and prestige; validates realistic faux items as tasteful and practical. (Khán giả phản hồi thực tế: Phân tích từ 29 bình luận thực tế: 27.6% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Aesthetic Transformation / Visual Shock Hook: Opening with 'POV: You’ve been trying to find the perfect faux olive tree without spendin...' to capture viewer attention within 3 seconds.,"Driven by 601,100 views and 2,629 saves (61 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'I want this so bad but my 2 year old will defo destroy this in a heart beat lol, Do you have the link??, Where is the olive tree vase from plz'","Desire for elevated living space and prestige; validates realistic faux items as tasteful and practical. (Khán giả phản hồi thực tế: Phân tích từ 29 bình luận thực tế: 27.6% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",0-3s quick visual reveal -> tactile proof (touching leaves) -> styled living room context -> recommendation.,I want this so bad but my 2 year old will defo destroy this in a heart beat lol; Do you have the link??; Where is the olive tree vase from plz; Where are your sofa cushions from please xxx,,29,https://www.tiktok.com/@home.of.emma.x/video/7660446988172856598,POV: You’ve been trying to find the perfect faux olive tree without spending hundreds… 👀 I finally found one that actually looks realistic and comes with the pot. Such a good find! 🌿✨
